Date,AAPL
2023-10-03,170.24607849121094
2023-10-04,171.49037170410156
2023-10-05,172.72471618652344
2023-10-06,175.2725067138672
2023-10-09,176.75376892089844
2023-10-10,176.16123962402344
2023-10-11,177.55364990234375
2023-10-12,178.45228576660156
2023-10-13,176.61550903320312
2023-10-16,176.48715209960938
2023-10-17,174.93673706054688
2023-10-18,173.64312744140625
2023-10-19,173.26785278320312
2023-10-20,170.7200927734375
2023-10-23,170.83860778808594
2023-10-24,171.2731170654297
2023-10-25,168.96231079101562
2023-10-26,164.804931640625
2023-10-27,166.11831665039062
2023-10-30,168.1624298095703
2023-10-31,168.63645935058594
2023-11-01,171.7964630126953
2023-11-02,175.35150146484375
2023-11-03,174.44297790527344
2023-11-06,176.99075317382812
2023-11-07,179.5483856201172
2023-11-08,180.6050262451172
2023-11-09,180.1310577392578
2023-11-10,184.3136444091797
2023-11-13,182.73159790039062
2023-11-14,185.342041015625
2023-11-15,185.90565490722656
2023-11-16,187.58663940429688
2023-11-17,187.56686401367188
2023-11-20,189.3071746826172
2023-11-21,188.50621032714844
2023-11-22,189.16873168945312
2023-11-24,187.84373474121094
2023-11-27,187.66575622558594
2023-11-28,188.26890563964844
2023-11-29,187.25045776367188
2023-11-30,187.82394409179688
2023-12-01,189.09951782226562
2023-12-04,187.30975341796875
2023-12-05,191.25511169433594
2023-12-06,190.1674346923828
2023-12-07,192.09559631347656
2023-12-08,193.5194854736328
2023-12-11,191.0177764892578
2023-12-12,192.5306854248047
2023-12-13,195.7443084716797
2023-12-14,195.89259338378906
2023-12-15,195.358642578125
2023-12-18,193.6974639892578
2023-12-19,194.73568725585938
2023-12-20,192.6493377685547
2023-12-21,192.50099182128906
2023-12-22,191.43307495117188
2023-12-26,190.88925170898438
2023-12-27,190.98812866210938
2023-12-28,191.41331481933594
2023-12-29,190.37506103515625
